Straftat,Stadt,,Opfer insg.,Opfer M,Opfer W,M bis unter 6,W bis unter 6,M  6 bis unter 14,W  6 bis unter 14,M 14 bis unter 18,W 14 bis unter 18,M 18 bis unter 21,W 18 bis unter 21,M 21 bis unter 60,W 21 bis unter 60,M 60 und �lter,W 60 und �lter
2,4,5,6,7,8,10,11,13,14,19,20,22,23,25,26,28,29
Straftaten insgesamt,Aachen,voll.,3.981,2.335,1.646,22,18,80,63,115,120,192,128,1.763,1.210,163,107
Straftaten insgesamt,Aachen,vers.,282,168,114,2,0,2,3,12,8,6,7,129,76,17,20
Straftaten insgesamt,Aachen,insg.,4.263,2.503,1.760,24,18,82,66,127,128,198,135,1.892,1.286,180,127
Straftaten insgesamt,Augsburg,voll.,4.541,2.874,1.667,19,25,141,90,166,130,249,182,2.163,1.140,136,100
Straftaten insgesamt,Augsburg,vers.,462,327,135,0,2,14,2,24,13,31,5,238,102,20,11
Straftaten insgesamt,Augsburg,insg.,5.003,3.201,1.802,19,27,155,92,190,143,280,187,2.401,1.242,156,111
Straftaten insgesamt,Bergisch Gladbach,voll.,1.248,636,612,1,16,23,31,46,56,60,34,439,420,67,55
Straftaten insgesamt,Bergisch Gladbach,vers.,91,51,40,0,3,1,1,5,5,0,4,40,24,5,3
Straftaten insgesamt,Bergisch Gladbach,insg.,1.339,687,652,1,19,24,32,51,61,60,38,479,444,72,58
Straftaten insgesamt,Berlin,voll.,76.830,47.237,29.593,416,361,2.599,1.900,2.983,2.033,2.685,1.918,35.883,21.327,2.671,2.054
Straftaten insgesamt,Berlin,vers.,7.440,5.200,2.240,44,33,217,113,336,135,280,122,4.031,1.633,292,204
Straftaten insgesamt,Berlin,insg.,84.270,52.437,31.833,460,394,2.816,2.013,3.319,2.168,2.965,2.040,39.914,22.960,2.963,2.258
Straftaten insgesamt,Bielefeld,voll.,3.887,2.156,1.731,22,15,98,84,131,135,186,157,1.580,1.231,139,109
Straftaten insgesamt,Bielefeld,vers.,274,168,106,0,0,4,6,10,9,11,10,129,76,14,5
Straftaten insgesamt,Bielefeld,insg.,4.161,2.324,1.837,22,15,102,90,141,144,197,167,1.709,1.307,153,114
Straftaten insgesamt,Bochum,voll.,5.494,3.058,2.436,30,30,145,130,258,169,219,240,2.216,1.705,190,162
Straftaten insgesamt,Bochum,vers.,403,278,125,1,1,4,6,18,9,17,7,218,90,20,12
Straftaten insgesamt,Bochum,insg.,5.897,3.336,2.561,31,31,149,136,276,178,236,247,2.434,1.795,210,174
Straftaten insgesamt,Bonn,voll.,5.066,3.009,2.057,20,16,106,108,199,154,241,183,2.218,1.469,225,127
Straftaten insgesamt,Bonn,vers.,396,260,136,1,3,14,5,16,11,22,7,189,100,18,10
Straftaten insgesamt,Bonn,insg.,5.462,3.269,2.193,21,19,120,113,215,165,263,190,2.407,1.569,243,137
Straftaten insgesamt,Bottrop,voll.,1.259,680,579,8,4,27,42,51,53,59,44,483,400,52,36
Straftaten insgesamt,Bottrop,vers.,79,55,24,1,0,1,1,4,2,5,1,38,16,6,4
Straftaten insgesamt,Bottrop,insg.,1.338,735,603,9,4,28,43,55,55,64,45,521,416,58,40
Straftaten insgesamt,Braunschweig,voll.,3.487,2.098,1.389,11,15,127,90,147,133,171,115,1.530,947,112,89
Straftaten insgesamt,Braunschweig,vers.,241,147,94,0,4,4,6,4,7,17,7,111,63,11,7
Straftaten insgesamt,Braunschweig,insg.,3.728,2.245,1.483,11,19,131,96,151,140,188,122,1.641,1.010,123,96
Straftaten insgesamt,Bremen,voll.,10.123,6.014,4.109,41,36,217,202,380,316,457,287,4.571,2.968,348,300
Straftaten insgesamt,Bremen,vers.,710,481,229,2,1,20,13,19,11,42,11,361,158,37,35
Straftaten insgesamt,Bremen,insg.,10.833,6.495,4.338,43,37,237,215,399,327,499,298,4.932,3.126,385,335
Straftaten insgesamt,Bremerhaven,voll.,2.470,1.473,997,20,15,59,54,104,95,99,104,1.115,673,76,56
Straftaten insgesamt,Bremerhaven,vers.,111,79,32,2,1,1,2,5,2,7,6,58,19,6,2
Straftaten insgesamt,Bremerhaven,insg.,2.581,1.552,1.029,22,16,60,56,109,97,106,110,1.173,692,82,58
Straftaten insgesamt,Chemnitz,voll.,3.048,1.866,1.182,35,24,88,99,145,111,147,120,1.335,749,116,79
Straftaten insgesamt,Chemnitz,vers.,185,124,61,1,0,6,7,8,6,22,7,75,34,12,7
Straftaten insgesamt,Chemnitz,insg.,3.233,1.990,1.243,36,24,94,106,153,117,169,127,1.410,783,128,86
Straftaten insgesamt,Darmstadt,voll.,1.565,888,677,7,4,34,33,59,62,73,55,671,478,44,45
Straftaten insgesamt,Darmstadt,vers.,97,69,28,0,0,0,4,4,3,3,2,54,19,8,0
Straftaten insgesamt,Darmstadt,insg.,1.662,957,705,7,4,34,37,63,65,76,57,725,497,52,45
Straftaten insgesamt,Dortmund,voll.,10.431,6.264,4.167,33,41,283,216,448,311,468,348,4.686,3.023,346,228
Straftaten insgesamt,Dortmund,vers.,743,500,243,1,1,19,13,42,25,50,17,361,166,27,21
Straftaten insgesamt,Dortmund,insg.,11.174,6.764,4.410,34,42,302,229,490,336,518,365,5.047,3.189,373,249
Straftaten insgesamt,Dresden,voll.,6.971,4.271,2.700,60,42,257,254,353,242,334,246,3.064,1.724,203,192
Straftaten insgesamt,Dresden,vers.,422,311,111,2,5,20,4,21,7,29,11,224,74,15,10
Straftaten insgesamt,Dresden,insg.,7.393,4.582,2.811,62,47,277,258,374,249,363,257,3.288,1.798,218,202
Straftaten insgesamt,Duisburg,voll.,7.503,3.961,3.542,40,41,276,253,308,282,258,254,2.811,2.494,268,218
Straftaten insgesamt,Duisburg,vers.,540,316,224,2,7,14,15,26,13,24,14,222,155,28,20
Straftaten insgesamt,Duisburg,insg.,8.043,4.277,3.766,42,48,290,268,334,295,282,268,3.033,2.649,296,238
Straftaten insgesamt,D�sseldorf,voll.,10.427,6.426,4.001,41,41,199,161,453,322,630,345,4.727,2.848,376,284
Straftaten insgesamt,D�sseldorf,vers.,649,451,198,3,2,18,10,42,11,36,13,326,147,26,15
Straftaten insgesamt,D�sseldorf,insg.,11.076,6.877,4.199,44,43,217,171,495,333,666,358,5.053,2.995,402,299
Straftaten insgesamt,Erfurt,voll.,3.880,2.427,1.453,18,26,114,82,160,122,223,149,1.813,987,99,87
Straftaten insgesamt,Erfurt,vers.,398,272,126,1,0,10,12,19,1,23,10,197,95,22,8
Straftaten insgesamt,Erfurt,insg.,4.278,2.699,1.579,19,26,124,94,179,123,246,159,2.010,1.082,121,95
Straftaten insgesamt,Erlangen,voll.,987,598,389,8,1,17,15,42,34,36,39,461,272,34,28
Straftaten insgesamt,Erlangen,vers.,84,56,28,0,1,1,1,9,2,7,3,35,19,4,2
Straftaten insgesamt,Erlangen,insg.,1.071,654,417,8,2,18,16,51,36,43,42,496,291,38,30
Straftaten insgesamt,Essen,voll.,7.747,4.213,3.534,42,51,243,213,318,293,245,247,3.119,2.533,246,197
Straftaten insgesamt,Essen,vers.,486,295,191,3,0,11,12,18,14,23,15,215,139,25,11
Straftaten insgesamt,Essen,insg.,8.233,4.508,3.725,45,51,254,225,336,307,268,262,3.334,2.672,271,208
Straftaten insgesamt,Frankfurt am Main,voll.,12.321,7.910,4.411,53,43,198,118,301,215,476,361,6.466,3.391,416,283
Straftaten insgesamt,Frankfurt am Main,vers.,998,720,278,4,4,19,13,26,18,40,18,586,199,45,26
Straftaten insgesamt,Frankfurt am Main,insg.,13.319,8.630,4.689,57,47,217,131,327,233,516,379,7.052,3.590,461,309
Straftaten insgesamt,Freiburg im Breisgau,voll.,4.005,2.745,1.260,19,10,82,61,126,93,250,132,2.085,876,183,88
